kross_id,nome,citta,indirizzo,ospiti_default,ospiti_min,ospiti_max,url_prenotazione,note_bot
261,APPARTAMENTO BILO JANNA,Stintino,"Via dei Rosmarini 8, Stintino",4,1,4,https://affittasardegna.it/?kross_accommodation=261,
1093,APPARTAMENTO GEMMA DEL MARE,Castelsardo,"Via Abruzzo 15 , Castelsardo",4,1,4,https://affittasardegna.it/?kross_accommodation=1093,
1085,APPARTAMENTO IL DELFINO,Porto Torres,"Via Lungomare Balai, 26 L , Porto Torres",4,1,4,https://affittasardegna.it/?kross_accommodation=1085,
1164,APPARTAMENTO IL FARO,Badesi,"Via Dettori 20 - Residence le Onde , Badesi",3,1,3,https://affittasardegna.it/?kross_accommodation=1164,
1091,APPARTAMENTO LUGHE 'E MARI,Stintino,"Via Angelo Moratti 9/A, Stintino",4,1,4,https://affittasardegna.it/?kross_accommodation=1091,
1184,APPARTAMENTO PERLA,Santa Teresa Di Gallura,"Str. Punta Falcone, La Ficaccia , Santa Teresa di Gallura",4,1,4,https://affittasardegna.it/?kross_accommodation=1184,
1182,APPARTAMENTO RUBINO,Santa Teresa Di Gallura,"Str. Punta Falcone, La Ficaccia , Santa Teresa di Gallura",4,1,4,https://affittasardegna.it/?kross_accommodation=1182,
1183,APPARTAMENTO SMERALDO,Santa Teresa Di Gallura,"Str. Punta Falcone, La Ficaccia , Santa Teresa di Gallura",4,1,4,https://affittasardegna.it/?kross_accommodation=1183,
1105,APPARTAMENTO SUNSET,Golfo Aranci,"Via Marinella, Residence Abi d'Oru, GOLFO ARANCI",4,1,4,https://affittasardegna.it/?kross_accommodation=1105,
404,ATTICO MARE,Cala Gonone,"Via S'lschina e su re 11/13, Cala Gonone",6,1,7,https://affittasardegna.it/?kross_accommodation=404,
905,ATTICO PINTAU,Cala Gonone,Cala Gonone,4,1,5,https://affittasardegna.it/?kross_accommodation=905,
413,BILO AGOSTINO 2,Alghero,"Via Don Minzoni, 92, Alghero",4,1,4,https://affittasardegna.it/?kross_accommodation=413,
418,BILO AGOSTINO 3,Alghero,"Via Don Minzoni, 92, Alghero",3,1,4,https://affittasardegna.it/?kross_accommodation=418,
1200,BILO ARCOBALENO,Viddalba,"VIA XXV Aprile, VIDDALBA",3,1,3,https://affittasardegna.it/?kross_accommodation=1200,
1198,BILO BELVEDERE,Trinità D'Agultu E Vignola,"Via delle Poste (snc), Trinità D'agultu e Vignola",4,1,4,https://affittasardegna.it/?kross_accommodation=1198,
249,BILO CARAIBI 1,Pittulongu,"Via Mar dei Caraibi , Pittulongu",3,1,3,https://affittasardegna.it/?kross_accommodation=249,
256,BILO CARAIBI 2,Pittulongu,"Via Mar dei Caraibi, Pittulongu",4,1,4,https://affittasardegna.it/?kross_accommodation=256,
1128,BILO DE BAHAS,Golfo Aranci,"Località Marana- Golfo di Marinella, GOLFO ARANCI",4,1,4,https://affittasardegna.it/?kross_accommodation=1128,
1042,BILO DEGLI SCALINI,Porto Torres,"Via Angioy 91, Porto Torres",2,1,2,https://affittasardegna.it/?kross_accommodation=1042,
417,BILO DOTTO,Porto Istana,"Viale Porto Istana, Porto Istana",2,1,2,https://affittasardegna.it/?kross_accommodation=417,
1158,BILO ELICRISO,Isola Rossa,"Corso Isola Rossa 74 - Paduledda, Isola Rossa",3,1,3,https://affittasardegna.it/?kross_accommodation=1158,
419,BILO EUROPA,Alghero,"Via Castelsardo, Alghero",4,1,4,https://affittasardegna.it/?kross_accommodation=419,
1180,BILO FIGARO,Stintino,"Via Punta Negra 12, Stintino",4,1,4,https://affittasardegna.it/?kross_accommodation=1180,
1116,BILO GIGLIO,"Sos Alinos, Orosei","Via Su Vrangone 3, Sos Alinos, Orosei",4,1,4,https://affittasardegna.it/?kross_accommodation=1116,
246,BILO GROSSETO,San Teodoro,"Via Prato, San Teodoro",3,1,3,https://affittasardegna.it/?kross_accommodation=246,
1178,BILO IL PORTO,Palau,"Via Riva dei Lestrigoni 12 , Palau",4,1,4,https://affittasardegna.it/?kross_accommodation=1178,
1103,BILO IL TIMONE,Budoni,"Via Su Puntu ,32 Loc. Tanaunella , Budoni",2,1,2,https://affittasardegna.it/?kross_accommodation=1103,
231,BILO ISTANA,Porto Istana,"Viale Porto Istana, Porto Istana",4,1,4,https://affittasardegna.it/?kross_accommodation=231,
1134,BILO LIBELLULA,Orosei,"Località Settile SNC, OROSEI",4,1,4,https://affittasardegna.it/?kross_accommodation=1134,
1064,BILO MARINELLA 4,Marinella,"Località Villa Blu - Residence Marineledda, Marinella",4,1,4,https://affittasardegna.it/?kross_accommodation=1064,
1129,BILO MINI DE BAHAS,Golfo Aranci,"Località Marana- Golfo di Marinella, GOLFO ARANCI",3,1,3,https://affittasardegna.it/?kross_accommodation=1129,
1124,BILO NIBARU 1,Budoni,"Via Carbonia 9 , Budoni",2,1,2,https://affittasardegna.it/?kross_accommodation=1124,
1125,BILO NIBARU 2,Budoni,"Via Carbonia 9 , Budoni",4,1,4,https://affittasardegna.it/?kross_accommodation=1125,
1027,BILO NURAGHEDDU,San Teodoro,"Via di Lu nuragheddu 8/d, Villaggio Nuragheddu, San Teodoro",3,1,4,https://affittasardegna.it/?kross_accommodation=1027,
1199,BILO PANORAMA,Castelsardo,"Via Li Russi, 11 , CASTELSARDO",4,1,4,https://affittasardegna.it/?kross_accommodation=1199,
258,BILO RUINAS 1,Pittulongu,"Via del Giglio, Pittulongu",4,1,4,https://affittasardegna.it/?kross_accommodation=258,
442,BILO RUINAS 3,Pittulongu,"Via del Giglio, Pittulongu",4,1,4,https://affittasardegna.it/?kross_accommodation=442,
1154,BILO SA BELLESA,Badesi,"Via Barcellona snc, Badesi",4,1,4,https://affittasardegna.it/?kross_accommodation=1154,
897,BILO SOPPALCO GROSSETO,San Teodoro,"Via Grosseto, San Teodoro",4,1,4,https://affittasardegna.it/?kross_accommodation=897,
1185,BILO TARTARUGA,Viddalba,"Via Australia snc. int. 4 , Viddalba",4,1,4,https://affittasardegna.it/?kross_accommodation=1185,
1112,BILO TERESA,Santa Teresa Di Gallura,"Via Capo Testa 27, Santa Teresa di Gallura",4,1,4,https://affittasardegna.it/?kross_accommodation=1112,
996,BILO TRAMONTO,Valledoria,"Via Armando Diaz 4 12, La Muddizza - Residence Ibisco, Valledoria",3,1,4,https://affittasardegna.it/?kross_accommodation=996,
1041,CALA DELLE VIGNE,Porto Torres,"Via delle vigne 15, Porto Torres",4,1,4,https://affittasardegna.it/?kross_accommodation=1041,
1102,CASA ACQUAMARINA,Stintino,"Via Tonnara le Saline n°7, Stintino",5,1,5,https://affittasardegna.it/?kross_accommodation=1102,
456,CASA ALTAMAREA,Cala Gonone,"Via Virgilio, 3, Cala Gonone",6,1,6,https://affittasardegna.it/?kross_accommodation=456,
1106,CASA AMBRA 1,San Teodoro,"Vico L'Arruli, Località Lu Fraili, SAN TEODORO",6,1,6,https://affittasardegna.it/?kross_accommodation=1106,
1107,CASA AMBRA 2,San Teodoro,"Vico L'Arruli, Località Lu Fraili, SAN TEODORO",6,1,6,https://affittasardegna.it/?kross_accommodation=1107,
1108,CASA AMBRA 3,San Teodoro,"Vico L'Arruli, Località Lu Fraili, SAN TEODORO",6,1,6,https://affittasardegna.it/?kross_accommodation=1108,
349,CASA ARANCIO,Cala Gonone,"Viale Laconi, Angolo via Doschele, Cala Gonone",5,1,5,https://affittasardegna.it/?kross_accommodation=349,
1075,CASA ARRULI,San Teodoro,"Vico L'Arruli, Località Lu Fraili, San Teodoro",4,1,4,https://affittasardegna.it/?kross_accommodation=1075,
1166,CASA AURA,Porto Torres,"Via Azuni 45, Porto Torres",4,1,4,https://affittasardegna.it/?kross_accommodation=1166,
1171,CASA BIANCA 1,Porto Torres,"Via machiavelli 3/5, Porto Torres",4,1,4,https://affittasardegna.it/?kross_accommodation=1171,
1170,CASA BIANCA 2,Porto Torres,"Via Macchiavelli 3/5, Porto Torres",4,1,4,https://affittasardegna.it/?kross_accommodation=1170,
1172,CASA BIANCA 3,Porto Torres,"Via Machiavelli 3/5, Porto Torres",6,1,6,https://affittasardegna.it/?kross_accommodation=1172,
920,CASA BRIGANTINO,San Teodoro,"Via Cala Girgolu s.n.c., San Teodoro",4,1,5,https://affittasardegna.it/?kross_accommodation=920,
1090,CASA CELESTE,Stintino,"Via Cala Sabina 18/D, Stintino",4,1,4,https://affittasardegna.it/?kross_accommodation=1090,
346,CASA CHICCA,Cala Gonone,"Via Giuseppe Ungaretti, Cala Gonone",7,1,8,https://affittasardegna.it/?kross_accommodation=346,
